"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
287425,"Corporate Audit, AVP â€“ Full Stack Data Scientist","State Street","Poland","Full-time","186928.0","2023-11-16 14:16:23"
103329,"Data Scientist, Global Selling","Stripe","Germany","Full-time","171121.0","2023-10-20 18:18:47"
437705,"Analytics Engineer","Palta","Poland","Full-time","158500.0","2023-12-17 01:11:25"
741194,"Data Scientist","Opera","Poland","Full-time","157500.0","2023-04-07 07:36:12"
47351,"Data Scientist (Senior or Staff) - Data, Analytics and Governance","SentinelOne","Slovakia","Full-time","157500.0","2023-09-06 12:50:58"
236936,"Data Scientist (Data Science Hub)","Allegro","Poland","Full-time","132500.0","2023-06-08 10:37:36"
28648,"Data Scientist (S&OP)","Allegro","Poland","Full-time","132500.0","2023-06-06 11:18:21"
713351,"Data Scientist","EY","Poland","Full-time","123064.0","2023-12-24 08:08:55"
797241,"Data Scientist","HEINEKEN","Poland","Full-time","121000.0","2023-12-10 10:14:22"
643906,"Data Scientist (all genders)","Delivery Hero","Germany","Full-time","120564.0","2023-11-10 15:35:24"
